GeneCluster	Gene	HyPhy_result	Detection_rate
Soil_0124377794_COG0553	DSM_0352771174	NS_OE	3.2
Soil_0124377794_COG0553	DSM_0359093756	NS_OE	3.45
Soil_0124377794_COG0553	DSM_0370332205	NS_OE	1.97
Soil_0124377794_COG0553	DSM_0371222571	NS_OE	2.71
Soil_0124377794_COG0553	DSM_0380275001	NS_OE	0.49
Soil_0124377794_COG0553	DSM_0387311060	NS_OE	5.17
Soil_0124377794_COG0553	DSM_0392154635	NS_OE	1.23
Soil_0124377794_COG0553	DSM_0395525097	NS_OE	3.94
Soil_0124377794_COG0553	DSM_0397075325	NS_OE	3.69
Soil_0124377794_COG0553	DSM_0413280366	NS_OE	7.64
Soil_0124377794_COG0553	DSM_0413304721	NS_OE	3.45
Soil_0124377794_COG0553	DSM_0421347012	NS_OE	1.23
Soil_0124377794_COG0553	DSM_0427760277	NS_OE	3.94
Soil_0124377794_COG0553	DSM_0432778694	NS_OE	7.88
Soil_0124377794_COG0553	DSM_0434958582	NS_OE	6.9
Soil_0124377794_COG0553	DSM_0436456769	NS_OE	1.48
Soil_0124377794_COG0553	DSM_0456096681	NS_OE	8.37
Soil_0124377794_COG0553	DSM_0458493807	NS_OE	2.22
Soil_0124377794_COG0553	DSM_0461793020	NS_OE	0.25
Soil_0124377794_COG0553	DSM_0471723104	NS_OE	1.48
Soil_0124377794_COG0553	DSM_0474366025	NS_OE	18.47
Soil_0124377794_COG0553	DSM_0482151164	NS_OE	3.94
Soil_0124377794_COG0553	DSM_0497409037	NS_OE	0
Soil_0124377794_COG0553	DSM_0498361171	NS_OE	0.49
Soil_0124377794_COG0553	DSM_0002345081	NS_MS	7.19
Soil_0124377794_COG0553	DSM_0002757509	NS_MS	3.59
Soil_0124377794_COG0553	DSM_0011675525	NS_MS	1.8
Soil_0124377794_COG0553	DSM_0012055879	NS_MS	10.78
Soil_0124377794_COG0553	DSM_0015935859	NS_MS	0
Soil_0124377794_COG0553	DSM_0034721477	NS_MS	0.6
Soil_0124377794_COG0553	DSM_0038682253	NS_MS	25.75
Soil_0124377794_COG0553	DSM_0041712689	NS_MS	4.19
Soil_0124377794_COG0553	DSM_0043130211	NS_MS	0
Soil_0124377794_COG0553	DSM_0044634390	NS_MS	5.39
Soil_0124377794_COG0553	DSM_0047665028	NS_MS	3.59
Soil_0124377794_COG0553	DSM_0058465796	NS_MS	6.59
Soil_0124377794_COG0553	DSM_0063189444	NS_MS	4.79
Soil_0124377794_COG0553	DSM_0076972599	NS_MS	2.99
Soil_0124377794_COG0553	DSM_0078278245	NS_MS	1.2
Soil_0124377794_COG0553	DSM_0078872280	NS_MS	20.96
Soil_0124377794_COG0553	DSM_0080096610	NS_MS	1.8
Soil_0124377794_COG0553	DSM_0080795722	NS_MS	10.78
Soil_0124377794_COG0553	DSM_0081592240	NS_MS	9.58
Soil_0124377794_COG0553	DSM_0085404892	NS_MS	5.99
Soil_0124377794_COG0553	DSM_0096201096	NS_MS	5.99
Soil_0124377794_COG0553	DSM_0096237057	NS_MS	3.59
Soil_0124377794_COG0553	DSM_0096599777	NS_MS	2.4
Soil_0124377794_COG0553	DSM_0099190093	NS_MS	10.78
Soil_0124377794_COG0553	DSM_0099755948	NS_MS	3.59
Soil_0124377794_COG0553	DSM_0104321459	NS_MS	10.18
Soil_0124377794_COG0553	DSM_0104534731	NS_MS	10.78
Soil_0124377794_COG0553	DSM_0106972693	NS_MS	7.19
Soil_0124377794_COG0553	DSM_0112492754	NS_MS	6.59
Soil_0124377794_COG0553	DSM_0117774432	NS_MS	30.54
Soil_0124377794_COG0553	DSM_0119590865	NS_MS	6.59
Soil_0124377794_COG0553	DSM_0119735831	NS_MS	1.8
Soil_0124377794_COG0553	DSM_0121012840	NS_MS	1.8
Soil_0124377794_COG0553	DSM_0121861088	NS_MS	1.8
Soil_0124377794_COG0553	DSM_0143596663	NS_MS	9.58
Soil_0124377794_COG0553	DSM_0144801711	NS_MS	5.39
Soil_0124377794_COG0553	DSM_0148307588	NS_MS	44.31
Soil_0124377794_COG0553	DSM_0154791446	NS_MS	13.77
