"GeneCluster"	"NS"	"REG"	"FC"	"p"	"FDR"
"DSM_0371547189"	10.3329411764706	12.5566666666667	1.21520740825079	0.0931	0.241175466025256
"DSM_0371624792"	3.55360103626943	3.60548387096774	1.01460007304387	0.452	0.632212987012987
"DSM_0371636794"	5.17187683284457	7.508125	1.45172153990962	0.197	0.378366473473027
"DSM_0372255525"	4.42544668587896	11.046875	2.49621694353458	9.6e-05	0.004308
"DSM_0372302947"	10.2616049382716	16.03625	1.56274287467366	0.182	0.361649446494465
"DSM_0372510427"	12.2415942028986	15.7922222222222	1.29004621134092	0.245	0.433275862068966
"DSM_0372584245"	4.0154103343465	7.74551724137931	1.92894787741285	0.448	0.62804555808656
"DSM_0372814247"	3.84064516129032	4.99625	1.30088820762641	0.101	0.251652978600347
"DSM_0373333432"	2.60429975429975	7.72704545454545	2.96703382235011	0.168	0.34595793499044
"DSM_0373410724"	10.4056081081081	11.34	1.08979695200743	0.622	0.761243181818182
"DSM_0373488658"	10.1767045454545	12.53625	1.23185751772654	0.667	0.791580165289256
"DSM_0373489868"	9.72863372093023	9.60869565217391	0.987671643090202	0.944	0.973139985642498
"DSM_0373623151"	3.4575	13.2333333333333	3.82742829597493	0.224	0.410634893617021
"DSM_0373871134"	8.8263122923588	14.72	1.66774067270921	5.52e-05	0.00309392727272727
"DSM_0374214005"	3.61547368421053	6.736	1.86310303665531	0.574	0.726650602409639
"DSM_0374423931"	3.87231958762887	4.25533333333333	1.09891067538126	0.0556	0.178217857142857
"DSM_0374459610"	3.41613333333333	2.91142857142857	0.852258471008715	0.383	0.570526970954357
"DSM_0374502292"	5.19409090909091	4.156	0.800140019252647	0.772	0.867669188625098
"DSM_0374540606"	5.0921686746988	8.26125	1.6223441381758	0.277	0.467051272015656
"DSM_0374567864"	1.00372340425532	1.44928571428571	1.44390945567416	0.51	0.68
"DSM_0374654630"	5.62089494163424	12.2657575757576	2.18217164759734	0.00294	0.0344171739130435
"DSM_0374655756"	6.68712643678161	9.743	1.45697858296951	0.0161	0.0869157894736842
"DSM_0374847984"	2.10464646464646	1.965	0.933648492992897	0.242	0.430978090119884
"DSM_0374850775"	2.95867857142857	3.012	1.01802204169332	0.515	0.683914919852035
"DSM_0374881994"	2.54754966887417	2.79129032258064	1.09567650699199	0.028	0.120023880597015
"DSM_0375275292"	1.96663265306122	3.424	1.7410470606548	0.156	0.331548100641342
"DSM_0375283589"	4.00992063492064	6.90733333333333	1.7225611083622	0.071	0.206714516129032
"DSM_0375348934"	12.5936697247706	15.4272727272727	1.22500216890146	0.166	0.343151631477927
"DSM_0375576945"	1.45523917995444	1.87111111111111	1.28577565590949	0.473	0.647706293706294
"DSM_0375846629"	3.99146179401993	21.5622222222222	5.40208658755723	0.00256	0.0317823631123919
"DSM_0376887890"	2.84534246575342	7.69142857142857	2.70316443943135	0.0138	0.0794791443850267
"DSM_0376943592"	9.01790322580645	9.9475	1.10308347194649	0.936	0.968834214320038
"DSM_0376958012"	4.46394736842105	24.0585714285714	5.38952846952611	0.000656	0.0148186178010471
"DSM_0377032270"	4.66084507042254	8.30571428571429	1.78201896012847	0.157	0.332852362204724
"DSM_0377057031"	1.95922764227642	1.964	1.00243583625537	0.601	0.747648859370488
"DSM_0377122170"	2.75872852233677	11.4454545454545	4.14881509825393	0.194	0.374440860215054
"DSM_0377256372"	4.37802816901408	7.87695652173913	1.79920188213704	0.0295	0.12447208619001
"DSM_0377279583"	2.56147058823529	7.12333333333333	2.78095456807134	0.649	0.780103794642857
